Masse_g,l0mm,l1_mm,delta_l_mm
50,2.64,2.8,0.1599999999999997
100,2.8,3.015,0.2150000000000003
150,3.015,3.21,0.1949999999999998
200,3.21,3.375,0.165
250,3.375,3.54,0.165
300,3.54,3.684,0.1440000000000001
350,3.684,3.845,0.161
400,3.845,3.995,0.1499999999999999
450,3.995,4.15,0.1550000000000002
500,4.15,4.305,0.1549999999999994
550,4.305,4.48,0.1750000000000007
600,4.48,4.652,0.1719999999999997
650,4.652,4.79,0.1379999999999999
700,4.79,4.969,0.1790000000000003
750,4.969,5.12,0.1509999999999998
800,5.12,5.293,0.173
