I,U1,t_1,T_celsius,I1,U2,t1_s,T1_celsius
,,0,26.9,,,0,26.9
,,60,26.4,,,60,27.0
,,120,26.3,,,120,27.1
,,180,26.4,,,180,27.1
,,240,26.4,,,240,27.1
,,300,26.4,,,300,27.2
3.0,24.75,310,27.2,3.0,25.0,310,27.8
3.0,24.75,320,27.9,3.0,25.0,320,28.3
3.0,24.75,330,28.6,3.0,25.0,330,29.1
3.0,24.75,340,29.2,3.0,25.0,340,29.7
3.0,24.75,350,29.8,3.0,25.0,350,30.4
3.0,24.75,360,30.5,3.0,25.0,360,31.1
3.0,24.75,370,31.2,3.0,25.0,370,31.7
3.0,24.75,380,31.7,3.0,25.0,380,32.4
3.0,24.75,390,32.3,3.0,25.0,390,33.0
3.0,24.75,400,33.0,3.0,25.0,400,33.6
3.0,24.75,410,33.7,3.0,25.0,410,34.2
3.0,24.75,420,34.2,3.0,25.0,420,34.8
3.0,24.75,430,34.9,3.0,25.0,430,35.4
3.0,24.75,440,35.5,3.0,25.0,440,36.1
3.0,24.75,450,36.2,3.0,25.0,450,36.8
3.0,24.75,460,26.6,3.0,25.0,460,37.4
3.0,24.75,470,37.3,3.0,25.0,470,38.0
3.0,24.75,480,38.0,3.0,25.0,480,38.5
3.0,24.75,490,38.5,3.0,25.0,490,39.2
3.0,24.75,500,39.2,3.0,25.0,500,39.8
3.0,24.75,510,39.8,3.0,25.0,510,40.4
3.0,24.75,520,40.4,3.0,25.0,520,41.0
3.0,24.75,530,41.0,3.0,25.0,530,41.6
3.0,24.75,540,41.6,3.0,25.0,540,42.2
3.0,24.75,550,42.1,3.0,25.0,550,42.8
3.0,24.75,560,42.8,3.0,25.0,560,43.5
3.0,24.75,570,43.3,3.0,25.0,570,44.0
3.0,24.75,580,44.0,3.0,25.0,580,44.6
3.0,24.75,590,44.6,3.0,25.0,590,45.2
3.0,24.75,600,45.2,3.0,25.0,600,45.8
,,660,44.9,,,660,45.4
,,720,44.6,,,720,45.2
,,780,44.4,,,780,45.0
,,840,44.2,,,840,44.8
,,900,44.1,,,900,44.7
,,960,43.9,,,960,44.5
